Year,Dakar_Temperature,Diourbel_Temperature,Fatick_Temperature,Kaffrine_Temperature,Kaolack_Temperature,Kedougou_Temperature,Kolda_Temperature,Louga_Temperature,Matam_Temperature,Saint louis_Temperature,Sedhiou_Temperature,Tambacounda_Temperature,Thies_Temperature,Ziguinchor_Temperature,Corn_Weighted_Temperature,Cotton_Weighted_Temperature,Millet_Weighted_Temperature,Peanut_Weighted_Temperature,Rice_Weighted_Temperature,Sorghum_Weighted_Temperature
1983,21.81935484,26.84,26.04193548,26.04193548,26.04193548,26.67,26.125,24.14666667,25.0516129,24.14666667,26.125,26.29354839,26.84,24.34827586,25.961394786501003,26.1948532263,26.07892128104,25.863313815143115,25.3508606974,25.9385096023
1984,19.53870968,24.89333333,25.69333333,25.69333333,25.69333333,26.89583333,25.64642857,21.6516129,24.79666667,21.6516129,25.64642857,25.51612903,24.89333333,24.60967742,25.35379612860536,25.691632256200002,25.331161955600002,25.107857939823504,24.4897022642,25.317757524599998
1985,18.66774194,23.99615385,24.88275862,24.88275862,24.88275862,26.7826087,26.14705882,20.41612903,24.57931034,20.41612903,26.14705882,26.21612903,23.99615385,24.55862069,25.346823526832356,26.126601353300003,24.7899079168,24.629706419256465,24.410423309400006,25.150451215100002
1986,18.10967742,23.9037037,24.04193548,24.04193548,24.04193548,25.07692308,25.33333333,21.45,24.1875,21.45,25.33333333,24.40333333,23.9037037,23.48333333,24.47856818784595,25.007964843999996,24.10410697886,23.963683015012705,23.981273141099997,24.249551660299996
1987,20.15806452,26.06,26.744,26.744,26.744,29.528,26.69047619,21.89666667,26.41935484,21.89666667,26.69047619,26.89354839,26.06,25.01851852,26.43864933650695,26.9147070972,26.3780436364,26.12997970647745,25.271753593599996,26.416141983900005
1988,19.78709677,24.27333333,24.5483871,24.5483871,24.5483871,26.5037037,24.87407407,22.01290323,23.63225806,22.01290323,24.87407407,24.88709677,24.27333333,23.66451613,24.557164335624094,24.9555663046,24.43850442118,24.293943894642254,23.9538286727,24.492619115100002
1989,20.2516129,25.05333333,25.52580645,25.52580645,25.52580645,26.336,25.82222222,22.4483871,24.97333333,22.4483871,25.82222222,25.63333333,25.05333333,23.78064516,25.426746855982408,25.7880417181,25.33526454298,25.1470770768473,24.6343714687,25.3498540482
1990,18.75483871,23.99666667,24.90322581,24.90322581,24.90322581,25.87741935,25.67407407,21.23870968,24.2,21.23870968,25.67407407,24.7,23.99666667,23.61935484,24.933849268905682,25.3965053737,24.67350669256,24.49117140847459,24.176871205499996,24.7584461175
1991,20.73548387,25.93793103,26.48064516,26.48064516,26.48064516,28.73548387,27.98965517,22.66129032,25.79354839,22.66129032,27.98965517,27.22580645,25.93793103,24.91612903,26.999396043368836,27.752902111399997,26.47529899686,26.310735627862723,26.091379308000004,26.7405239137
1992,22.86774194,26.11333333,26.51034483,26.51034483,26.51034483,27.656,27.3625,23.04285714,25.6,23.04285714,27.3625,26.34482759,26.11333333,24.17586207,26.63281704417163,27.0745625873,26.385413987299998,26.200870500090943,25.738757780199997,26.451394873000005
1993,21.26129032,25.75806452,26.18709677,26.18709677,26.18709677,27.43,26.3516129,22.41290323,25.38709677,22.41290323,26.3516129,26.53870968,25.75806452,24.69032258,26.051085351710615,26.4532193532,25.961943869000002,25.750277927797512,25.115203224900007,26.005212901300006
1994,20.25483871,24.16153846,24.20645161,24.20645161,24.20645161,26.375,25.772,21.20322581,23.06666667,21.20322581,25.772,24.83,24.16153846,23.1,24.81199942974055,25.478747096599996,24.32338893958,24.18622584619522,24.1288713076,24.548296806299998
1995,21.20322581,26.11538462,25.83793103,25.83793103,25.83793103,27.78888889,26.10344828,22.93870968,24.09655172,22.93870968,26.10344828,25.41935484,26.11538462,24.46774194,25.706752692045008,26.017620321599995,25.73456711538,25.51315668046113,25.0470608783,25.6203408821
