Crop,Production,Year,Dakar_VHI,Diourbel_VHI,Fatick_VHI,Kaffrine_VHI,Kaolack_VHI,Kedougou_VHI,Kolda_VHI,Louga_VHI,Matam_VHI,Saint louis_VHI,Sedhiou_VHI,Tambacounda_VHI,Thies_VHI,Ziguinchor_VHI,Corn_Weighted_VHI,Cotton_Weighted_VHI,Millet_Weighted_VHI,Peanut_Weighted_VHI,Rice_Weighted_VHI,Sorghum_Weighted_VHI,Dakar_VHI_Cumulative,Diourbel_VHI_Cumulative,Fatick_VHI_Cumulative,Kaffrine_VHI_Cumulative,Kaolack_VHI_Cumulative,Kedougou_VHI_Cumulative,Kolda_VHI_Cumulative,Louga_VHI_Cumulative,Matam_VHI_Cumulative,Saint louis_VHI_Cumulative,Sedhiou_VHI_Cumulative,Tambacounda_VHI_Cumulative,Thies_VHI_Cumulative,Ziguinchor_VHI_Cumulative,Corn_Weighted_VHI_Cumulative,Cotton_Weighted_VHI_Cumulative,Millet_Weighted_VHI_Cumulative,Peanut_Weighted_VHI_Cumulative,Rice_Weighted_VHI_Cumulative,Sorghum_Weighted_VHI_Cumulative,Dakar_Rainfall,Diourbel_Rainfall,Fatick_Rainfall,Kaffrine_Rainfall,Kaolack_Rainfall,Kedougou_Rainfall,Kolda_Rainfall,Louga_Rainfall,Matam_Rainfall,Saint louis_Rainfall,Sedhiou_Rainfall,Tambacounda_Rainfall,Thies_Rainfall,Ziguinchor_Rainfall,Corn_Weighted_Rainfall,Cotton_Weighted_Rainfall,Millet_Weighted_Rainfall,Peanut_Weighted_Rainfall,Rice_Weighted_Rainfall,Sorghum_Weighted_Rainfall,Dakar_Temperature,Diourbel_Temperature,Fatick_Temperature,Kaffrine_Temperature,Kaolack_Temperature,Kedougou_Temperature,Kolda_Temperature,Louga_Temperature,Matam_Temperature,Saint louis_Temperature,Sedhiou_Temperature,Tambacounda_Temperature,Thies_Temperature,Ziguinchor_Temperature,Corn_Weighted_Temperature,Cotton_Weighted_Temperature,Millet_Weighted_Temperature,Peanut_Weighted_Temperature,Rice_Weighted_Temperature,Sorghum_Weighted_Temperature
Sorghum,143750.0,2000,0.5166666666666667,0.6133333333333333,0.6196666666666667,0.6866666666666666,0.7173333333333334,0.6773333333333333,0.6866666666666666,0.5916666666666667,0.6146666666666667,0.5273333333333333,0.7153333333333333,0.7000000000000001,0.5423333333333334,0.6193333333333334,0.6785703715679999,0.6900333333333334,0.6602206666666667,0.6575733345573335,0.6421366666666667,0.67888,4.9830000000000005,5.813,5.825,6.218,6.413,6.032,6.758,5.625,5.651,5.085,6.938,6.199,5.363,5.975,6.39548334461,6.54604,6.144992,6.131427154422001,6.21508,6.298620000000001,0.827,4.6240000000000006,4.917,6.428,3.465,1.558,1.249,6.082000000000001,5.287,3.23,3.3,5.354,3.991,2.91,3.3559822299860005,2.59541,4.577744,4.267725720496,2.76376,4.24748,21.59228772666667,29.439189096666667,29.446848436666667,29.446848436666667,29.446848436666667,30.950308643333333,29.38501326333333,24.29035714333333,28.87948797,24.29035714333333,29.38501326333333,30.57142857333333,29.439189096666667,26.622855023333333,29.20840464708909,29.779244924033332,29.215658260113333,28.86678331827414,27.7187702078,29.219298098366668
Peanut,887356.0,2001,0.5063333333333334,0.6003333333333334,0.6266666666666666,0.5973333333333333,0.6623333333333333,0.505,0.526,0.5736666666666667,0.5486666666666666,0.5146666666666667,0.5783333333333333,0.5113333333333333,0.5966666666666667,0.6156666666666667,0.5727292603833334,0.5265266666666667,0.5990073333333332,0.5859019058673333,0.55562,0.5709266666666667,4.832,5.418,5.506,5.383,5.763,5.195,5.058,5.183,4.972,4.55,5.426,4.793,5.375,5.373,5.271923343618001,5.02695,5.395804,5.312787153076001,5.10704,5.24048,0.068,0.402,0.666,1.382,1.3039999999999998,0.133,0.7090000000000001,1.819,0.759,0.8370000000000001,0.31,0.781,1.199,0.132,0.7316922237179999,0.7280500000000001,0.993628,1.0323714293260002,0.55932,0.90248,21.29343318,30.337055556666662,28.35906173,28.35906173,28.35906173,30.566573426666668,30.52373575333333,26.40359517,29.352274556666668,26.40359517,30.52373575333333,31.077564103333334,30.337055556666662,27.56186931333333,29.60448965965878,30.53488265983333,29.054210336126665,28.86048256962529,28.93547998666666,29.3349750218
Corn,108546.0,2001,0.5063333333333334,0.6003333333333334,0.6266666666666666,0.5973333333333333,0.6623333333333333,0.505,0.526,0.5736666666666667,0.5486666666666666,0.5146666666666667,0.5783333333333333,0.5113333333333333,0.5966666666666667,0.6156666666666667,0.5727292603833334,0.5265266666666667,0.5990073333333332,0.5859019058673333,0.55562,0.5709266666666667,4.832,5.418,5.506,5.383,5.763,5.195,5.058,5.183,4.972,4.55,5.426,4.793,5.375,5.373,5.271923343618001,5.02695,5.395804,5.312787153076001,5.10704,5.24048,0.068,0.402,0.666,1.382,1.3039999999999998,0.133,0.7090000000000001,1.819,0.759,0.8370000000000001,0.31,0.781,1.199,0.132,0.7316922237179999,0.7280500000000001,0.993628,1.0323714293260002,0.55932,0.90248,21.29343318,30.337055556666662,28.35906173,28.35906173,28.35906173,30.566573426666668,30.52373575333333,26.40359517,29.352274556666668,26.40359517,30.52373575333333,31.077564103333334,30.337055556666662,27.56186931333333,29.60448965965878,30.53488265983333,29.054210336126665,28.86048256962529,28.93547998666666,29.3349750218
Millet,556655.0,2001,0.5063333333333334,0.6003333333333334,0.6266666666666666,0.5973333333333333,0.6623333333333333,0.505,0.526,0.5736666666666667,0.5486666666666666,0.5146666666666667,0.5783333333333333,0.5113333333333333,0.5966666666666667,0.6156666666666667,0.5727292603833334,0.5265266666666667,0.5990073333333332,0.5859019058673333,0.55562,0.5709266666666667,4.832,5.418,5.506,5.383,5.763,5.195,5.058,5.183,4.972,4.55,5.426,4.793,5.375,5.373,5.271923343618001,5.02695,5.395804,5.312787153076001,5.10704,5.24048,0.068,0.402,0.666,1.382,1.3039999999999998,0.133,0.7090000000000001,1.819,0.759,0.8370000000000001,0.31,0.781,1.199,0.132,0.7316922237179999,0.7280500000000001,0.993628,1.0323714293260002,0.55932,0.90248,21.29343318,30.337055556666662,28.35906173,28.35906173,28.35906173,30.566573426666668,30.52373575333333,26.40359517,29.352274556666668,26.40359517,30.52373575333333,31.077564103333334,30.337055556666662,27.56186931333333,29.60448965965878,30.53488265983333,29.054210336126665,28.86048256962529,28.93547998666666,29.3349750218
Rice,206989.0,2001,0.5063333333333334,0.6003333333333334,0.6266666666666666,0.5973333333333333,0.6623333333333333,0.505,0.526,0.5736666666666667,0.5486666666666666,0.5146666666666667,0.5783333333333333,0.5113333333333333,0.5966666666666667,0.6156666666666667,0.5727292603833334,0.5265266666666667,0.5990073333333332,0.5859019058673333,0.55562,0.5709266666666667,4.832,5.418,5.506,5.383,5.763,5.195,5.058,5.183,4.972,4.55,5.426,4.793,5.375,5.373,5.271923343618001,5.02695,5.395804,5.312787153076001,5.10704,5.24048,0.068,0.402,0.666,1.382,1.3039999999999998,0.133,0.7090000000000001,1.819,0.759,0.8370000000000001,0.31,0.781,1.199,0.132,0.7316922237179999,0.7280500000000001,0.993628,1.0323714293260002,0.55932,0.90248,21.29343318,30.337055556666662,28.35906173,28.35906173,28.35906173,30.566573426666668,30.52373575333333,26.40359517,29.352274556666668,26.40359517,30.52373575333333,31.077564103333334,30.337055556666662,27.56186931333333,29.60448965965878,30.53488265983333,29.054210336126665,28.86048256962529,28.93547998666666,29.3349750218
Sorghum,149649.0,2001,0.5063333333333334,0.6003333333333334,0.6266666666666666,0.5973333333333333,0.6623333333333333,0.505,0.526,0.5736666666666667,0.5486666666666666,0.5146666666666667,0.5783333333333333,0.5113333333333333,0.5966666666666667,0.6156666666666667,0.5727292603833334,0.5265266666666667,0.5990073333333332,0.5859019058673333,0.55562,0.5709266666666667,4.832,5.418,5.506,5.383,5.763,5.195,5.058,5.183,4.972,4.55,5.426,4.793,5.375,5.373,5.271923343618001,5.02695,5.395804,5.312787153076001,5.10704,5.24048,0.068,0.402,0.666,1.382,1.3039999999999998,0.133,0.7090000000000001,1.819,0.759,0.8370000000000001,0.31,0.781,1.199,0.132,0.7316922237179999,0.7280500000000001,0.993628,1.0323714293260002,0.55932,0.90248,21.29343318,30.337055556666662,28.35906173,28.35906173,28.35906173,30.566573426666668,30.52373575333333,26.40359517,29.352274556666668,26.40359517,30.52373575333333,31.077564103333334,30.337055556666662,27.56186931333333,29.60448965965878,30.53488265983333,29.054210336126665,28.86048256962529,28.93547998666666,29.3349750218
Peanut,260723.0,2002,0.6203333333333333,0.414,0.4773333333333333,0.3613333333333333,0.447,0.4843333333333333,0.4466666666666666,0.442,0.3813333333333333,0.501,0.5526666666666666,0.463,0.543,0.5656666666666667,0.4793788898473333,0.4498066666666666,0.4478986666666666,0.4456138105293333,0.50583,0.4492533333333333,5.02,3.535,3.934,3.082,3.556,4.522,3.786,3.916,3.379,4.347,4.783,3.959,4.364,4.977,4.050402230476,3.84588,3.74586,3.742645723018,4.3633,3.81508,30.398,56.15,35.833,41.036,37.077,6.079,6.751,73.213,31.04,72.54100000000001,6.09,11.45,52.015,5.259,20.440700081718003,9.89633,35.577804,33.95663005930199,23.88864,25.74924,21.39228110666667,29.013043480000004,28.53836580333333,28.53836580333333,28.53836580333333,30.755036076666663,30.307099566666665,23.55221371,27.371756453333333,23.55221371,30.307099566666665,30.06484127,29.013043480000004,26.9330904,29.23541789623801,30.1672871573,28.709470877760005,28.41611852385939,28.018246384733335,28.958627126200003
Corn,80372.0,2002,0.6203333333333333,0.414,0.4773333333333333,0.3613333333333333,0.447,0.4843333333333333,0.4466666666666666,0.442,0.3813333333333333,0.501,0.5526666666666666,0.463,0.543,0.5656666666666667,0.4793788898473333,0.4498066666666666,0.4478986666666666,0.4456138105293333,0.50583,0.4492533333333333,5.02,3.535,3.934,3.082,3.556,4.522,3.786,3.916,3.379,4.347,4.783,3.959,4.364,4.977,4.050402230476,3.84588,3.74586,3.742645723018,4.3633,3.81508,30.398,56.15,35.833,41.036,37.077,6.079,6.751,73.213,31.04,72.54100000000001,6.09,11.45,52.015,5.259,20.440700081718003,9.89633,35.577804,33.95663005930199,23.88864,25.74924,21.39228110666667,29.013043480000004,28.53836580333333,28.53836580333333,28.53836580333333,30.755036076666663,30.307099566666665,23.55221371,27.371756453333333,23.55221371,30.307099566666665,30.06484127,29.013043480000004,26.9330904,29.23541789623801,30.1672871573,28.709470877760005,28.41611852385939,28.018246384733335,28.958627126200003
Millet,414820.0,2002,0.6203333333333333,0.414,0.4773333333333333,0.3613333333333333,0.447,0.4843333333333333,0.4466666666666666,0.442,0.3813333333333333,0.501,0.5526666666666666,0.463,0.543,0.5656666666666667,0.4793788898473333,0.4498066666666666,0.4478986666666666,0.4456138105293333,0.50583,0.4492533333333333,5.02,3.535,3.934,3.082,3.556,4.522,3.786,3.916,3.379,4.347,4.783,3.959,4.364,4.977,4.050402230476,3.84588,3.74586,3.742645723018,4.3633,3.81508,30.398,56.15,35.833,41.036,37.077,6.079,6.751,73.213,31.04,72.54100000000001,6.09,11.45,52.015,5.259,20.440700081718003,9.89633,35.577804,33.95663005930199,23.88864,25.74924,21.39228110666667,29.013043480000004,28.53836580333333,28.53836580333333,28.53836580333333,30.755036076666663,30.307099566666665,23.55221371,27.371756453333333,23.55221371,30.307099566666665,30.06484127,29.013043480000004,26.9330904,29.23541789623801,30.1672871573,28.709470877760005,28.41611852385939,28.018246384733335,28.958627126200003
Rice,172395.0,2002,0.6203333333333333,0.414,0.4773333333333333,0.3613333333333333,0.447,0.4843333333333333,0.4466666666666666,0.442,0.3813333333333333,0.501,0.5526666666666666,0.463,0.543,0.5656666666666667,0.4793788898473333,0.4498066666666666,0.4478986666666666,0.4456138105293333,0.50583,0.4492533333333333,5.02,3.535,3.934,3.082,3.556,4.522,3.786,3.916,3.379,4.347,4.783,3.959,4.364,4.977,4.050402230476,3.84588,3.74586,3.742645723018,4.3633,3.81508,30.398,56.15,35.833,41.036,37.077,6.079,6.751,73.213,31.04,72.54100000000001,6.09,11.45,52.015,5.259,20.440700081718003,9.89633,35.577804,33.95663005930199,23.88864,25.74924,21.39228110666667,29.013043480000004,28.53836580333333,28.53836580333333,28.53836580333333,30.755036076666663,30.307099566666665,23.55221371,27.371756453333333,23.55221371,30.307099566666665,30.06484127,29.013043480000004,26.9330904,29.23541789623801,30.1672871573,28.709470877760005,28.41611852385939,28.018246384733335,28.958627126200003
Sorghum,116929.0,2002,0.6203333333333333,0.414,0.4773333333333333,0.3613333333333333,0.447,0.4843333333333333,0.4466666666666666,0.442,0.3813333333333333,0.501,0.5526666666666666,0.463,0.543,0.5656666666666667,0.4793788898473333,0.4498066666666666,0.4478986666666666,0.4456138105293333,0.50583,0.4492533333333333,5.02,3.535,3.934,3.082,3.556,4.522,3.786,3.916,3.379,4.347,4.783,3.959,4.364,4.977,4.050402230476,3.84588,3.74586,3.742645723018,4.3633,3.81508,30.398,56.15,35.833,41.036,37.077,6.079,6.751,73.213,31.04,72.54100000000001,6.09,11.45,52.015,5.259,20.440700081718003,9.89633,35.577804,33.95663005930199,23.88864,25.74924,21.39228110666667,29.013043480000004,28.53836580333333,28.53836580333333,28.53836580333333,30.755036076666663,30.307099566666665,23.55221371,27.371756453333333,23.55221371,30.307099566666665,30.06484127,29.013043480000004,26.9330904,29.23541789623801,30.1672871573,28.709470877760005,28.41611852385939,28.018246384733335,28.958627126200003
Peanut,440709.0,2003,0.3243333333333333,0.4516666666666666,0.474,0.4996666666666667,0.4956666666666667,0.4656666666666667,0.3996666666666666,0.4903333333333333,0.5486666666666666,0.5456666666666666,0.3566666666666667,0.498,0.4386666666666667,0.3819999999999999,0.4359851861066667,0.43374,0.465696,0.466949524688,0.42511,0.4578333333333333,3.335,3.962,4.155,4.116,4.126,4.321,3.737,4.48,4.454,4.59,3.056,4.352,4.342,3.5340000000000003,3.840220008252,3.94182,4.048468,4.095085722072,3.76466,3.96515,0.0,0.5,0.086,1.497,2.041,8.423,3.192,0.969,1.078,0.471,0.113,0.777,0.338,0.0,1.4619977807280002,2.77506,1.127804,1.51121571731,1.1508,1.47661,20.565821813333333,27.10333333333333,27.534273506666665,27.534273506666665,27.534273506666665,29.94534313666667,28.98224553333333,23.272967223333332,27.881621356666667,23.272967223333332,28.98224553333333,29.993356376666668,27.10333333333333,26.34959805333333,28.242800364350945,29.205930778766664,27.616475631066667,27.445738825524074,27.09144212593333,28.062165710433334
Corn,400907.0,2003,0.3243333333333333,0.4516666666666666,0.474,0.4996666666666667,0.4956666666666667,0.4656666666666667,0.3996666666666666,0.4903333333333333,0.5486666666666666,0.5456666666666666,0.3566666666666667,0.498,0.4386666666666667,0.3819999999999999,0.4359851861066667,0.43374,0.465696,0.466949524688,0.42511,0.4578333333333333,3.335,3.962,4.155,4.116,4.126,4.321,3.737,4.48,4.454,4.59,3.056,4.352,4.342,3.5340000000000003,3.840220008252,3.94182,4.048468,4.095085722072,3.76466,3.96515,0.0,0.5,0.086,1.497,2.041,8.423,3.192,0.969,1.078,0.471,0.113,0.777,0.338,0.0,1.4619977807280002,2.77506,1.127804,1.51121571731,1.1508,1.47661,20.565821813333333,27.10333333333333,27.534273506666665,27.534273506666665,27.534273506666665,29.94534313666667,28.98224553333333,23.272967223333332,27.881621356666667,23.272967223333332,28.98224553333333,29.993356376666668,27.10333333333333,26.34959805333333,28.242800364350945,29.205930778766664,27.616475631066667,27.445738825524074,27.09144212593333,28.062165710433334
