Year,Dakar_Rainfall,Diourbel_Rainfall,Fatick_Rainfall,Kaffrine_Rainfall,Kaolack_Rainfall,Kedougou_Rainfall,Kolda_Rainfall,Louga_Rainfall,Matam_Rainfall,Saint louis_Rainfall,Sedhiou_Rainfall,Tambacounda_Rainfall,Thies_Rainfall,Ziguinchor_Rainfall,Corn_Weighted_Rainfall,Cotton_Weighted_Rainfall,Millet_Weighted_Rainfall,Peanut_Weighted_Rainfall,Rice_Weighted_Rainfall,Sorghum_Weighted_Rainfall
2006,15.631,33.492,25.115000000000002,10.183,10.49,8.267,8.954,31.238,17.347,23.017,4.807,12.671000000000001,20.953,5.409,11.938440036786,9.87737,16.124252,15.150281459419999,11.40238,11.532940000000002
2007,0.0,1.216,0.502,2.64,0.22399999999999998,4.931,1.602,6.074,4.726,6.91,0.5920000000000001,2.605,0.927,0.674,1.433010006244,2.08051,1.5626820000000001,1.9845014340140001,2.44703,1.99035
2008,19.776,19.708,12.849,5.911,10.927999999999999,2.728,0.543,19.751,9.178,28.489,0.827,0.737,13.589,23.905,5.97602447623,1.09769,9.197032,8.929087172746001,11.597290000000001,6.052649999999999
2009,0.0,1.963,2.265,2.106,2.6159999999999997,3.928,3.917,2.137,1.184,1.588,0.64,1.213,0.524,0.389,2.122901114182,3.1053300000000004,2.0483379999999998,2.260912859912,1.80855,1.9918399999999996
2010,0.23700000000000002,0.6940000000000001,0.459,4.462,1.824,6.872,2.4429999999999996,0.699,5.532,1.4460000000000002,2.784,2.789,0.07,1.464,2.2530655603280003,2.8934099999999994,2.106452,2.2852971482939997,2.1443499999999998,2.91272
2011,0.10200000000000001,4.976,1.631,3.458,2.78,9.828,0.959,4.4590000000000005,3.114,2.8169999999999997,0.942,4.001,1.037,0.9610000000000001,2.102712229056,2.3946300000000003,2.613734,2.6195428636400004,1.6217900000000003,2.7298599999999995
2012,1.348,2.643,1.509,1.474,0.8200000000000001,39.145,4.665,6.512,10.779,27.770999999999997,1.987,6.241,1.456,16.98,4.552220024024,6.90302,2.467596,4.077940028758,11.30199,4.655329999999999
2013,0.0,1.675,1.935,2.607,1.414,7.232,1.206,4.93,3.548,9.761,1.955,3.979,1.2730000000000001,5.156000000000001,2.280235563596,2.3404299999999996,2.1827540000000005,2.465102865522,4.07268,2.65504
2014,0.034,0.101,0.075,0.45199999999999996,0.13,0.186,0.027,0.742,0.314,8.754,0.273,0.382,0.0,1.909,0.363850002776,0.15003,0.251744,0.40121000330600004,2.33102,0.47859999999999997
2015,0.7070000000000001,1.994,0.632,1.0350000000000001,0.615,0.459,2.455,1.563,0.7130000000000001,16.385,7.293,1.16,2.149,7.43,3.00975222943,1.97047,1.740688,1.725831438566,7.38987,2.4909300000000005
2016,0.034,2.652,3.162,5.998,5.416,26.079,2.9080000000000004,1.903,9.979000000000001,11.065,3.8930000000000002,6.880999999999999,0.624,11.898,4.841308904496,5.48094,4.22102,4.745827161599999,6.72367,5.615220000000001
2017,0.034,0.155,0.09,0.476,0.127,1.072,0.48,2.166,0.738,12.892999999999999,0.846,1.2029999999999998,0.716,1.8139999999999998,0.8352633377919999,0.6961999999999999,0.533792,0.800497147872,3.53557,0.9177799999999999
2018,0.034,0.385,0.512,1.784,2.06,3.0749999999999997,3.1249999999999996,1.782,0.9420000000000001,16.735,3.672,2.625,0.33299999999999996,2.061,2.725498894918,2.9247699999999996,1.721724,2.071687150544,5.908530000000001,2.5999800000000004
2019,0.105,0.29300000000000004,0.552,0.568,0.28800000000000003,4.2170000000000005,1.52,4.777,1.01,28.549,4.7829999999999995,0.849,0.8,5.325,2.392328899032,1.48678,1.2330320000000001,1.691770012652,8.87352,2.08604
2020,0.511,0.511,1.236,2.182,1.682,18.739,1.5170000000000001,0.739,2.487,14.802,3.237,1.506,0.206,3.84,2.414874454226,2.5996699999999997,1.6340979999999998,2.023294298322,5.38767,2.51814
2021,66.353,60.373999999999995,60.037,41.351,49.756,18.694,26.409,57.535000000000004,30.641000000000002,87.48,48.855,32.824000000000005,64.087,71.773,43.687943444064,28.75488,49.048682,46.278487252619996,54.889979999999994,42.45648
2022,34.236,0.0,4.801,0.0,0.003,1.315,0.77,6.663,0.019,137.344,50.509,0.003,11.631,100.21000000000001,16.453424509203998,1.06217,6.777038000000001,7.188561521038001,59.67114,12.60689
2023,0.371,1.8679999999999999,1.412,0.758,0.476,1.217,1.458,4.561,3.8899999999999997,16.772,3.599,0.9510000000000001,1.899,7.5889999999999995,2.1387000086500003,1.29338,1.5366879999999998,1.788768581516,6.371519999999999,1.88926
2024,0.0,0.213,1.494,1.214,1.147,1.422,0.028,1.311,0.856,8.639,1.493,0.169,0.677,2.2849999999999997,0.9705533370260002,0.23203000000000001,1.024504,1.0364785756880002,2.73202,1.00677
