Year,Dakar_VHI,Diourbel_VHI,Fatick_VHI,Kaffrine_VHI,Kaolack_VHI,Kedougou_VHI,Kolda_VHI,Louga_VHI,Matam_VHI,Saint louis_VHI,Sedhiou_VHI,Tambacounda_VHI,Thies_VHI,Ziguinchor_VHI,Corn_Weighted_VHI,Cotton_Weighted_VHI,Millet_Weighted_VHI,Peanut_Weighted_VHI,Rice_Weighted_VHI,Sorghum_Weighted_VHI
1994,0.6066666666666666,0.6586666666666666,0.661,0.7173333333333334,0.7043333333333334,0.5823333333333333,0.5983333333333333,0.666,0.6876666666666668,0.6453333333333333,0.6216666666666667,0.6276666666666667,0.6313333333333334,0.5993333333333334,0.6375562975839999,0.6119499999999999,0.6680760000000001,0.6616890488766667,0.6202633333333334,0.65602
1995,0.5336666666666666,0.47100000000000003,0.48666666666666664,0.5213333333333333,0.543,0.5723333333333334,0.6556666666666667,0.4746666666666666,0.49466666666666664,0.40066666666666667,0.6753333333333332,0.5626666666666668,0.508,0.6389999999999999,0.5899237047293334,0.61977,0.5372506666666667,0.54329809632,0.58793,0.5686866666666667
1996,0.4223333333333333,0.3546666666666667,0.4026666666666667,0.4283333333333333,0.367,0.511,0.5563333333333333,0.36233333333333334,0.4093333333333333,0.342,0.4283333333333333,0.4663333333333333,0.35833333333333334,0.5323333333333333,0.449225186012,0.52154,0.412514,0.43006285799999994,0.45853,0.44404666666666665
1997,0.5643333333333334,0.41500000000000004,0.465,0.4566666666666667,0.46900000000000003,0.6186666666666666,0.5356666666666667,0.4683333333333333,0.412,0.45366666666666666,0.5196666666666667,0.5339999999999999,0.49133333333333334,0.543,0.507281112094,0.5354533333333333,0.4771966666666667,0.4869838105313333,0.5101766666666667,0.4976366666666666
1998,0.4713333333333334,0.36400000000000005,0.41,0.43533333333333335,0.4166666666666667,0.615,0.5423333333333333,0.45599999999999996,0.474,0.462,0.49300000000000005,0.5083333333333333,0.37233333333333335,0.4683333333333333,0.48065481572999996,0.5310933333333333,0.436968,0.45450285809933333,0.49148333333333344,0.4727366666666667
1999,0.581,0.5036666666666667,0.5463333333333334,0.537,0.5546666666666668,0.5686666666666667,0.602,0.5333333333333333,0.603,0.5356666666666666,0.6183333333333333,0.584,0.5023333333333334,0.6206666666666667,0.582258149256,0.5919399999999999,0.5511913333333334,0.5567576201993334,0.5894166666666667,0.57049
2000,0.5166666666666667,0.6133333333333333,0.6196666666666667,0.6866666666666666,0.7173333333333334,0.6773333333333333,0.6866666666666666,0.5916666666666667,0.6146666666666667,0.5273333333333333,0.7153333333333333,0.7000000000000001,0.5423333333333334,0.6193333333333334,0.6785703715679999,0.6900333333333334,0.6602206666666667,0.6575733345573335,0.6421366666666667,0.67888
2001,0.5063333333333334,0.6003333333333334,0.6266666666666666,0.5973333333333333,0.6623333333333333,0.505,0.526,0.5736666666666667,0.5486666666666666,0.5146666666666667,0.5783333333333333,0.5113333333333333,0.5966666666666667,0.6156666666666667,0.5727292603833334,0.5265266666666667,0.5990073333333332,0.5859019058673333,0.55562,0.5709266666666667
2002,0.6203333333333333,0.414,0.47733333333333333,0.36133333333333334,0.447,0.48433333333333334,0.4466666666666666,0.442,0.38133333333333336,0.501,0.5526666666666666,0.463,0.543,0.5656666666666667,0.47937888984733334,0.44980666666666663,0.44789866666666667,0.44561381052933335,0.50583,0.44925333333333334
2003,0.32433333333333336,0.45166666666666666,0.47400000000000003,0.4996666666666667,0.4956666666666667,0.4656666666666667,0.39966666666666667,0.49033333333333334,0.5486666666666666,0.5456666666666666,0.3566666666666667,0.498,0.4386666666666667,0.38199999999999995,0.43598518610666676,0.43374,0.465696,0.466949524688,0.42511,0.45783333333333337
2004,0.48266666666666663,0.514,0.547,0.614,0.5623333333333334,0.543,0.5833333333333334,0.5646666666666667,0.6316666666666667,0.6589999999999999,0.6033333333333334,0.63,0.5216666666666666,0.5773333333333333,0.5840822233573335,0.5941033333333333,0.5741206666666667,0.5785266678126667,0.6017966666666666,0.59535
2005,0.49433333333333335,0.4876666666666667,0.528,0.6013333333333333,0.5486666666666667,0.7423333333333333,0.672,0.5613333333333334,0.583,0.4963333333333333,0.6266666666666666,0.6876666666666668,0.4216666666666667,0.5266666666666667,0.6102351862773333,0.6749166666666667,0.5679086666666666,0.5822147630353334,0.5881266666666667,0.6126966666666666
2006,0.4323333333333333,0.5569999999999999,0.551,0.6393333333333334,0.61,0.49833333333333335,0.5683333333333334,0.5573333333333333,0.555,0.5646666666666667,0.5803333333333333,0.597,0.4653333333333333,0.5906666666666666,0.57498000108,0.5753866666666667,0.5809053333333334,0.5787238106033334,0.5718933333333334,0.5909433333333333
2007,0.45,0.36866666666666664,0.403,0.5026666666666667,0.46366666666666667,0.529,0.5259999999999999,0.3906666666666667,0.503,0.4043333333333334,0.46900000000000003,0.5553333333333333,0.3586666666666667,0.43366666666666664,0.481466297172,0.5311533333333334,0.4539333333333334,0.46680047709266664,0.4628566666666667,0.49279333333333336
2008,0.49466666666666664,0.439,0.4693333333333333,0.5379999999999999,0.49933333333333335,0.515,0.6266666666666666,0.4483333333333333,0.5306666666666667,0.4656666666666667,0.5556666666666666,0.5563333333333333,0.432,0.5166666666666667,0.5441066676399999,0.5959666666666665,0.508832,0.521129048624,0.5424566666666666,0.5418466666666666
2009,0.661,0.8026666666666666,0.798,0.8506666666666667,0.8146666666666667,0.631,0.7413333333333334,0.7716666666666666,0.7600000000000001,0.6853333333333333,0.7286666666666667,0.7433333333333333,0.7240000000000001,0.7703333333333333,0.7560607422200001,0.7412866666666666,0.7915453333333333,0.782744287154,0.7319233333333335,0.7751600000000001
2010,0.47866666666666663,0.49033333333333334,0.5193333333333333,0.634,0.5883333333333333,0.582,0.628,0.5273333333333333,0.64,0.5433333333333333,0.611,0.651,0.4523333333333333,0.5796666666666667,0.5973296307246667,0.6307233333333333,0.5741373333333333,0.5831019058833333,0.5902233333333333,0.6101166666666666
2011,0.6106666666666667,0.6526666666666667,0.6786666666666666,0.7576666666666667,0.7056666666666667,0.6446666666666667,0.7036666666666666,0.726,0.7346666666666666,0.7156666666666666,0.7223333333333333,0.7043333333333334,0.6243333333333334,0.727,0.7030103717466667,0.7031999999999999,0.7044686666666667,0.707022382326,0.7127333333333332,0.7160933333333334
2012,0.488,0.6013333333333334,0.5830000000000001,0.6926666666666668,0.6163333333333333,0.537,0.5956666666666667,0.7206666666666667,0.798,0.7193333333333333,0.6023333333333333,0.6733333333333333,0.5526666666666666,0.5459999999999999,0.6144418531086668,0.6166866666666666,0.6276233333333334,0.6328090488453334,0.6196566666666666,0.6409300000000001
2013,0.5466666666666667,0.5043333333333333,0.5433333333333333,0.6156666666666667,0.541,0.5973333333333333,0.6793333333333335,0.5006666666666667,0.6223333333333333,0.5056666666666666,0.7416666666666667,0.643,0.5306666666666667,0.6946666666666667,0.6342600011373335,0.6613866666666668,0.5869466666666667,0.5911257154893335,0.64768,0.6281233333333334
2014,0.556,0.528,0.581,0.6573333333333333,0.5926666666666667,0.595,0.6016666666666667,0.603,0.6893333333333334,0.6363333333333333,0.6203333333333333,0.624,0.5366666666666666,0.6093333333333333,0.6049122234246667,0.60973,0.6020086666666666,0.6073528583526667,0.6146499999999999,0.6197666666666668
2015,0.438,0.42966666666666664,0.52,0.5813333333333333,0.5473333333333333,0.641,0.6156666666666667,0.5223333333333334,0.691,0.5619999999999999,0.6203333333333333,0.6726666666666666,0.4203333333333333,0.645,0.5927062973919999,0.6290833333333333,0.549894,0.5638347630553333,0.6027899999999999,0.5960866666666667
2016,0.5836666666666667,0.5466666666666666,0.5623333333333332,0.59,0.5750000000000001,0.556,0.6413333333333333,0.5499999999999999,0.5833333333333334,0.5863333333333333,0.6793333333333335,0.6393333333333333,0.5926666666666667,0.6880000000000001,0.6217340752466668,0.6328633333333333,0.592108,0.5947866678733333,0.6398566666666667,0.6148300000000001
2017,0.4796666666666667,0.444,0.49700000000000005,0.611,0.5253333333333333,0.5579999999999999,0.6266666666666666,0.5023333333333334,0.63,0.5256666666666666,0.6823333333333333,0.5973333333333334,0.459,0.644,0.5913840751526667,0.6139733333333334,0.5531946666666667,0.5607795249420001,0.6115066666666666,0.5956899999999999
2018,0.509,0.4766666666666666,0.4753333333333334,0.5619999999999999,0.5296666666666666,0.5713333333333334,0.623,0.5043333333333333,0.5833333333333334,0.5383333333333333,0.615,0.5953333333333334,0.48933333333333334,0.612,0.5745003714473332,0.60892,0.5376846666666667,0.5484414296873333,0.5912766666666667,0.5741833333333334
2019,0.5203333333333333,0.6646666666666666,0.62,0.698,0.6126666666666667,0.649,0.6453333333333333,0.6779999999999999,0.725,0.6749999999999999,0.6196666666666667,0.7036666666666666,0.594,0.6083333333333333,0.6398437049953334,0.6621866666666667,0.6478886666666668,0.6509604774653334,0.6396433333333333,0.66054
2020,0.48100000000000004,0.43166666666666664,0.4326666666666667,0.5013333333333333,0.43100000000000005,0.5236666666666667,0.5583333333333333,0.5556666666666666,0.5723333333333334,0.572,0.5203333333333333,0.5536666666666666,0.442,0.462,0.5082140750833333,0.5505833333333333,0.48024200000000006,0.4962466676846667,0.5298433333333333,0.5127333333333334
2021,0.5783333333333333,0.6483333333333333,0.631,0.7213333333333334,0.6366666666666667,0.5933333333333334,0.6636666666666666,0.7323333333333334,0.706,0.6983333333333333,0.7086666666666667,0.6549999999999999,0.6286666666666666,0.6773333333333333,0.6645988902186667,0.6603433333333333,0.6692400000000001,0.6699380965553334,0.6836733333333334,0.67848
2022,0.6190000000000001,0.598,0.623,0.6433333333333334,0.6203333333333333,0.6206666666666667,0.607,0.6913333333333332,0.7226666666666667,0.7096666666666667,0.7423333333333333,0.6676666666666667,0.6153333333333334,0.7186666666666667,0.655496297616,0.62629,0.6398013333333334,0.6382242870660001,0.6848000000000001,0.6549266666666668
2023,0.5503333333333335,0.5676666666666667,0.5623333333333332,0.578,0.5723333333333334,0.5786666666666667,0.596,0.531,0.5796666666666667,0.5296666666666666,0.6916666666666668,0.5516666666666666,0.5753333333333334,0.6736666666666666,0.5996177789253333,0.5836966666666666,0.5799839999999999,0.5743528583346666,0.61462,0.5893033333333333
2024,0.566,0.498,0.5486666666666666,0.5583333333333332,0.53,0.508,0.559,0.519,0.618,0.5523333333333333,0.6266666666666666,0.5836666666666667,0.5276666666666666,0.636,0.5698959270333334,0.5624600000000001,0.5506340000000001,0.5509390487633333,0.5854433333333333,0.5674799999999999
